"month_id","case_id","count","departamento_std","violence_type","month_start"
"2023-06",NA,1,"casanare","homicide",2023-06-01
"2023-06","tumaco",2,"nariño","homicide",2023-06-01
"2023-06",NA,2,"san andres islas","homicide",2023-06-01
"2023-06",NA,1,"amazonas","homicide",2023-06-01
"2023-07",NA,129,"antioquia","homicide",2023-07-01
"2023-07",NA,50,"atlantico","homicide",2023-07-01
"2023-07",NA,50,"bogota d.c.","homicide",2023-07-01
"2023-07",NA,66,"bolivar","homicide",2023-07-01
"2023-07",NA,9,"caldas","homicide",2023-07-01
"2023-07",NA,74,"cauca","homicide",2023-07-01
"2023-07",NA,25,"choco","homicide",2023-07-01
"2023-07",NA,18,"cundinamarca","homicide",2023-07-01
"2023-07",NA,14,"huila","homicide",2023-07-01
"2023-07",NA,37,"magdalena","homicide",2023-07-01
"2023-07","tumaco",2,"nariño","homicide",2023-07-01
"2023-07",NA,31,"nariño","homicide",2023-07-01
"2023-07",NA,33,"norte de santander","homicide",2023-07-01
"2023-07",NA,13,"quindio","homicide",2023-07-01
"2023-07",NA,4,"san andres islas","homicide",2023-07-01
"2023-07",NA,40,"sucre","homicide",2023-07-01
"2023-07",NA,22,"tolima","homicide",2023-07-01
"2023-07","buenaventura",18,"valle del cauca","homicide",2023-07-01
"2023-07",NA,160,"valle del cauca","homicide",2023-07-01
"2023-07",NA,19,"cesar","homicide",2023-07-01
"2023-07",NA,30,"cordoba","homicide",2023-07-01
"2023-07",NA,8,"meta","homicide",2023-07-01
"2023-07",NA,19,"putumayo","homicide",2023-07-01
"2023-07",NA,16,"santander","homicide",2023-07-01
"2023-07",NA,2,"casanare","homicide",2023-07-01
"2023-07",NA,2,"vichada","homicide",2023-07-01
"2023-07",NA,12,"caqueta","homicide",2023-07-01
"2023-07",NA,11,"risaralda","homicide",2023-07-01
"2023-07",NA,4,"la guajira","homicide",2023-07-01
"2023-07",NA,2,"guaviare","homicide",2023-07-01
"2023-07","arauca",3,"arauca","homicide",2023-07-01
"2023-07",NA,2,"boyaca","homicide",2023-07-01
"2023-08",NA,108,"antioquia","homicide",2023-08-01
"2023-08",NA,35,"atlantico","homicide",2023-08-01
"2023-08",NA,50,"bolivar","homicide",2023-08-01
"2023-08",NA,6,"caldas","homicide",2023-08-01
